**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 3

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Al,  1.87770,  0.55265,  0.58930,  0.86677,  1.83855,  1.88330,  1.10193,  0.58603,  0.53183,  0.31210
PM25,137.09000, 95.64300, 97.25700,103.12100,135.59750,140.47000,112.38880, 18.63349,  0.16579,  0.13592

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  9.21796,  6.04368,  6.08401,  6.72711,  8.99431,  9.27488,  7.40057,  1.48831,  0.20111,  0.16146
NO3,  0.00000,  0.00000,  0.00000,  0.00000,  0.00002,  0.92898,  0.09290,  0.29377,  3.16203,  0.00000
Cl, 75.35319, 72.62527, 73.17384, 75.62606, 77.43595, 77.67214, 75.56104,  1.98396,  0.02626,  0.02633
Na, 87.01513, 83.61373, 84.32090, 87.21544, 88.44627, 88.73513, 86.67755,  2.02986,  0.02342,  0.02333
NH4,  6.47938,  0.99055,  1.00543,  2.13557,  6.28611,  6.51588,  3.36601,  2.62079,  0.77860,  0.40448
K, 67.91755, 65.49946, 66.84970, 68.76479, 71.16804, 71.37127, 68.89909,  2.27568,  0.03303,  0.03351
Ca, 87.44344, 83.87513, 84.73526, 87.64363, 88.71167, 89.00184, 87.00619,  2.00031,  0.02299,  0.02288
OC, 11.02083,  7.50455,  7.60147,  8.24632, 10.75798, 11.08775,  9.01550,  1.62442,  0.18018,  0.14740
EC, 57.16397, 55.17775, 56.75870, 58.58595, 61.23663, 61.41660, 58.76507,  2.46202,  0.04190,  0.04307
Si, 87.08057, 83.49202, 84.38465, 87.28057, 88.30378, 88.59274, 86.62328,  1.98283,  0.02289,  0.02277
Sb, 87.76477, 84.20323, 85.04523, 87.96518, 89.05968, 89.35452, 87.33794,  2.01342,  0.02305,  0.02294
Fe,  6.17360,  6.05945,  6.14916, 10.39968, 11.01341, 11.06647,  8.94341,  2.43821,  0.27263,  0.39494
Zn, 78.40286, 75.54942, 76.03211, 78.59258, 80.10906, 80.35655, 78.35071,  1.92876,  0.02462,  0.02460
Mg, 73.56727, 70.90797, 71.43711, 73.83748, 75.57617, 75.80467, 73.75936,  1.92750,  0.02613,  0.02620
Al, 84.52514, 81.34422, 81.91311, 84.72255, 86.05312, 86.32995, 84.27994,  2.00295,  0.02377,  0.02370
PM25, 74.44408, 71.75573, 72.37792, 74.77830, 76.64533, 76.87926, 74.73383,  2.00479,  0.02683,  0.02693

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4, 75.97685, 55.12491, 55.23709, 66.57062, 76.01281, 76.50531, 65.84819, 10.75645,  0.16335,  0.14158
NO3, 59.45694, 37.19491, 37.37744, 47.05796, 59.21670, 59.45694, 48.04632, 10.62171,  0.22107,  0.17865
Cl,  3.92633,  3.91183,  5.12613,  8.29826, 10.00196, 10.80218,  7.76380,  2.49898,  0.32188,  0.63647
Na,  1.91089,  1.89848,  4.63318,  9.78874,  9.91016, 11.94346,  7.94147,  3.55691,  0.44789,  1.86139
NH4, 93.45567, 70.42207, 70.50654, 82.68842, 93.52591, 96.16056, 82.40567, 12.26167,  0.14880,  0.13120
K,  0.00000,  0.00000,  0.78149,  2.53799,  3.57679,  6.21216,  2.57716,  2.02713,  0.78658,  0.00000
Ca,  2.80025,  2.78514,  5.47494, 10.72777, 10.85137, 13.17896,  8.88527,  3.62158,  0.40759,  1.29331
OC, 76.97221, 56.57388, 56.67545, 67.76584, 77.30776, 77.66528, 67.14896, 10.67109,  0.15892,  0.13864
EC,  0.60429,  0.00000,  0.00000,  0.00087,  1.73898,  5.82821,  1.21794,  2.26846,  1.86254,  3.75395
Si,  3.31640,  3.29984,  5.89514, 11.09593, 11.26750, 13.68383,  9.32085,  3.59287,  0.38547,  1.08337
Sb,  2.42224,  2.40864,  5.17344, 10.45390, 10.59894, 12.82941,  8.57648,  3.64938,  0.42551,  1.50661
Fe, 22.99668,  5.50783,  5.67394, 10.59673, 23.06628, 23.39245, 13.64487,  8.42417,  0.61739,  0.36632
Zn,  4.83636,  4.81836,  6.28030, 10.02174, 11.26855, 12.52504,  9.20806,  2.77144,  0.30098,  0.57304
Mg,  5.42822,  5.41064,  6.26746,  9.15556, 11.31405, 12.13059,  8.89760,  2.42757,  0.27283,  0.44721
Al,  2.64440,  2.63053,  5.00910,  9.74237, 10.01359, 11.97470,  8.19847,  3.30413,  0.40302,  1.24948
PM25,  3.61843,  3.60489,  4.74940,  7.75115,  9.54590, 10.41242,  7.29770,  2.42509,  0.33231,  0.67021

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4, 14.80518, 14.57493, 14.80874, 26.73008, 38.68314, 38.78750, 26.75124, 12.16218,  0.45464,  0.82148
NO3, 40.54306, 40.54306, 40.78330, 52.47752, 62.62256, 62.80509, 51.86077, 10.66550,  0.20566,  0.26307
Cl, 20.72048, 13.95872, 14.09525, 15.19407, 20.45374, 21.31515, 16.67517,  3.05809,  0.18339,  0.14759
Na, 11.07399,  1.31093,  1.68094,  3.74656, 10.72574, 11.07399,  5.38099,  4.27692,  0.79482,  0.38621
NH4,  0.06495,  0.04169,  0.08984, 13.73523, 28.48804, 28.58737, 14.22832, 14.63716,  1.02873,225.36216
K, 32.08245, 26.06087, 26.29983, 27.79524, 31.75326, 32.08245, 28.52376,  2.50184,  0.08771,  0.07798
Ca,  9.75632,  0.10051,  0.23900,  2.47500,  9.46735,  9.75836,  4.10854,  4.28632,  1.04327,  0.43934
OC, 12.00696, 11.66435, 12.00881, 23.75478, 35.72982, 35.81959, 23.83554, 12.18388,  0.51116,  1.01473
EC, 42.23175, 38.58340, 38.62492, 39.27378, 42.00073, 42.32172, 40.01699,  1.59607,  0.03988,  0.03779
Si,  9.60303,  0.12516,  0.23573,  2.43049,  9.31544,  9.75326,  4.05588,  4.23196,  1.04341,  0.44069
Sb,  9.81299,  0.00130,  0.22952,  2.44576,  9.49589,  9.81299,  4.08558,  4.33194,  1.06030,  0.44145
Fe, 70.82972, 70.53171, 70.75768, 79.00359, 83.30735, 83.44690, 77.41173,  6.01510,  0.07770,  0.08492
Zn, 16.76078,  9.29334,  9.60432, 10.92953, 16.48971, 17.52737, 12.44123,  3.32988,  0.26765,  0.19867
Mg, 21.00451, 14.68729, 15.02367, 15.89537, 20.74446, 22.04901, 17.34304,  2.85659,  0.16471,  0.13600
Al, 12.83046,  3.77634,  4.01995,  5.92154, 12.54475, 12.85845,  7.52159,  3.99979,  0.53177,  0.31174
PM25, 21.93749, 15.30210, 15.53741, 16.49596, 21.67164, 22.46952, 17.96846,  2.97972,  0.16583,  0.13583

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  0.13121,  0.08439,  0.08455,  0.09674,  0.13060,  0.13121,  0.10546,  0.02258,  0.21408,  0.17207
NO3,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00128,  0.00013,  0.00040,  3.16203,  0.00000
Cl,  0.60624,  0.60624,  0.60626,  0.60899,  0.60929,  0.60935,  0.60802,  0.00152,  0.00250,  0.00251
Na,  2.40440,  2.38987,  2.39030,  2.39110,  2.40414,  2.40451,  2.39600,  0.00712,  0.00297,  0.00296
NH4,  0.00890,  0.00132,  0.00135,  0.00296,  0.00880,  0.00890,  0.00466,  0.00366,  0.78593,  0.41164
K,  0.71339,  0.71339,  0.71363,  0.72934,  0.73109,  0.73127,  0.72375,  0.00878,  0.01213,  0.01231
Ca, 17.97789, 17.83626, 17.83647, 17.84560, 17.97533, 17.97789, 17.89435,  0.07033,  0.00393,  0.00391
OC,  0.06872,  0.04619,  0.04627,  0.05182,  0.06842,  0.06872,  0.05627,  0.01087,  0.19314,  0.15813
EC,  0.44313,  0.44313,  0.44341,  0.46214,  0.46411,  0.46437,  0.45541,  0.01041,  0.02287,  0.02350
Si, 17.06870, 16.92669, 16.92698, 16.93623, 17.06609, 17.06870, 16.98484,  0.07058,  0.00416,  0.00414
Sb,  5.49464,  5.45093,  5.45131,  5.45543,  5.49331,  5.49464,  5.46915,  0.02116,  0.00387,  0.00385
Fe,  0.01361,  0.01361,  0.01374,  0.02323,  0.02374,  0.02379,  0.01963,  0.00510,  0.26003,  0.37514
Zn,  0.76738,  0.76674,  0.76683,  0.76691,  0.76736,  0.76740,  0.76705,  0.00028,  0.00036,  0.00036
Mg,  0.56279,  0.56277,  0.56281,  0.56524,  0.56539,  0.56545,  0.56433,  0.00132,  0.00234,  0.00235
Al,  1.39192,  1.38584,  1.38598,  1.38633,  1.39181,  1.39196,  1.38839,  0.00299,  0.00215,  0.00215
PM25, 52.34709, 52.34709, 52.35445, 52.67921, 52.71467, 52.71646, 52.56256,  0.18131,  0.00345,  0.00346

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4, 18.12839,  6.21524,  6.28879,  7.03479, 11.82533, 18.14981,  9.29302,  4.78241,  0.51462,  0.26381
NO3,  1.37410,  0.40643,  0.41212,  0.49928,  0.85863,  1.37576,  0.66622,  0.38472,  0.57747,  0.27998
Cl,  0.52950,  0.52894,  0.52949,  0.53376,  0.54400,  0.57600,  0.54063,  0.01810,  0.03348,  0.03419
Na,  0.88508,  0.88287,  1.54002,  1.96751,  2.17433,  2.18090,  1.79718,  0.51018,  0.28388,  0.57642
NH4,  2.15135,  0.76566,  0.77426,  0.84625,  1.42017,  2.15394,  1.11818,  0.55885,  0.49979,  0.25977
