**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 8

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mg, 31.35485, 20.94499, 21.03992, 31.36111, 35.66562, 35.79134, 28.95983,  7.03743,  0.24301,  0.22444
Al, 57.26442, 45.36041, 45.60918, 57.21402, 59.73216, 59.81162, 53.56774,  6.96438,  0.13001,  0.12162
PM25, 31.41551, 20.17989, 20.27651, 31.30879, 36.44332, 36.57959, 28.95839,  7.74865,  0.26758,  0.24665

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4, 15.31984, 14.81603, 14.92559, 15.33489, 16.13224, 16.14909, 15.49328,  0.57791,  0.03730,  0.03772
NO3,  1.12508,  1.11189,  1.11992,  1.12840,  1.16558,  1.16644,  1.13959,  0.02304,  0.02022,  0.02048
Cl,  0.54684,  0.51764,  0.51828,  0.54809,  0.58851,  0.58947,  0.55235,  0.03338,  0.06044,  0.06105
Na,  0.91715,  0.56241,  0.57360,  0.90226,  1.04508,  1.04788,  0.82984,  0.22438,  0.27038,  0.24464
NH4,  1.81376,  1.73489,  1.74735,  1.81499,  1.92393,  1.92618,  1.83205,  0.08388,  0.04579,  0.04625
K,  0.37212,  0.12099,  0.12685,  0.38737,  0.80992,  0.81581,  0.45046,  0.32353,  0.71822,  0.86942
Ca,  9.33092,  6.03477,  6.08550,  9.20065, 10.76049, 10.79336,  8.59916,  2.21404,  0.25747,  0.23728
OC,  6.23944,  6.10742,  6.15739,  6.24871,  6.53325,  6.53966,  6.32671,  0.18429,  0.02913,  0.02954
EC,  0.01137,  0.00000,  0.00000,  0.00196,  0.01807,  0.03530,  0.00884,  0.01216,  1.37492,  1.06971
Si, 10.14360,  6.84942,  6.88746, 10.01603, 11.63211, 11.66673,  9.43238,  2.24488,  0.23800,  0.22131
Sb,  2.39605,  1.17659,  1.20331,  2.34685,  2.89040,  2.90195,  2.11416,  0.80045,  0.37861,  0.33407
Fe,  0.46600,  0.40559,  0.40698,  0.46972,  0.57177,  0.57311,  0.48500,  0.07800,  0.16083,  0.16739
Zn,  0.80368,  0.80309,  0.80313,  0.80411,  0.81017,  0.81099,  0.80613,  0.00351,  0.00435,  0.00436
Mg,  0.69810,  0.66377,  0.66458,  0.70083,  0.76859,  0.76928,  0.71296,  0.04917,  0.06897,  0.07044
Al,  0.78587,  0.65902,  0.66277,  0.78059,  0.83245,  0.83349,  0.75491,  0.08071,  0.10692,  0.10271
PM25, 49.03018, 44.46414, 44.56766, 49.31052, 57.01716, 57.11827, 50.46216,  5.89322,  0.11679,  0.12020

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  2.18130,  1.10340,  1.10376,  1.79097,  3.78185,  3.79981,  2.31648,  1.30539,  0.56352,  0.59845
NO3,  0.38061,  0.29549,  0.29554,  0.35741,  0.47594,  0.47702,  0.38036,  0.08653,  0.22750,  0.22735
Cl,  0.83021,  0.80450,  0.80477,  0.80558,  0.81220,  0.84268,  0.81146,  0.01350,  0.01664,  0.01627
Na,  0.49852,  0.46273,  0.46330,  0.50714,  0.93114,  0.93156,  0.65826,  0.23359,  0.35486,  0.46857
NH4,  0.11738,  0.00000,  0.00000,  0.06798,  0.31945,  0.32158,  0.14186,  0.15731,  1.10894,  1.34018
K,  2.42106,  2.05365,  2.05412,  2.26913,  2.30869,  2.49406,  2.22198,  0.16094,  0.07243,  0.06648
Ca,  1.10598,  1.00042,  1.27319,  1.33195,  4.65702,  4.66060,  2.59834,  1.75960,  0.67720,  1.59100
OC,  1.14821,  0.63153,  0.63174,  0.99245,  1.78625,  1.79306,  1.16744,  0.55655,  0.47673,  0.48472
EC,  1.56030,  1.31939,  1.32244,  1.60910,  1.74341,  1.74345,  1.54739,  0.20244,  0.13082,  0.12974
Si,  0.89073,  0.72061,  1.15509,  1.24798,  4.32808,  4.33163,  2.38350,  1.66758,  0.69963,  1.87215
Sb,  0.00000,  0.00000,  0.00000,  0.00000,  1.38365,  1.38508,  0.55062,  0.71090,  1.29110,  0.00000
Fe,  0.95031,  0.86038,  0.86056,  0.91511,  0.92431,  0.96734,  0.90231,  0.03950,  0.04377,  0.04156
Zn,  0.76442,  0.75028,  0.75030,  0.76274,  0.77148,  0.77162,  0.76131,  0.01003,  0.01318,  0.01313
Mg,  0.90953,  0.83634,  0.83642,  0.90069,  0.90296,  0.91387,  0.87735,  0.03517,  0.04009,  0.03867
Al,  0.61628,  0.60608,  0.60631,  0.61873,  0.76886,  0.76899,  0.67348,  0.08156,  0.12110,  0.13234
PM25, 85.62517, 78.84202, 78.84984, 82.98081, 83.67131, 86.91502, 82.00786,  2.98364,  0.03638,  0.03485

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  0.98341,  0.59845,  0.59972,  1.13735,  1.48474,  1.50485,  1.04892,  0.41484,  0.39550,  0.42184
NO3,  0.21114,  0.19524,  0.19546,  0.21435,  0.22876,  0.22976,  0.21247,  0.01575,  0.07413,  0.07460
Cl,  0.65394,  0.61906,  0.61923,  0.65183,  0.67429,  0.67462,  0.64790,  0.02600,  0.04013,  0.03976
Na,  2.43590,  2.30410,  2.30775,  2.42925,  2.68480,  2.70252,  2.48425,  0.18285,  0.07360,  0.07506
NH4,  0.05466,  0.00000,  0.00000,  0.07400,  0.13028,  0.13275,  0.06540,  0.06080,  0.92956,  1.11221
K,  0.34604,  0.00000,  0.00000,  0.33540,  0.53974,  0.54361,  0.28347,  0.25653,  0.90496,  0.74132
Ca, 18.22648, 16.90229, 16.93540, 18.21759, 20.64994, 20.75245, 18.68401,  1.78561,  0.09557,  0.09797
OC,  0.26556,  0.14100,  0.14214,  0.30535,  0.41026,  0.41864,  0.28130,  0.12798,  0.45495,  0.48193
EC,  1.93743,  1.89820,  1.90321,  1.93223,  1.95217,  1.95302,  1.92853,  0.02364,  0.01226,  0.01220
Si, 17.79551, 16.44867, 16.48129, 17.79989, 20.24560, 20.33394, 18.25567,  1.80633,  0.09895,  0.10150
Sb,  6.46702,  5.99247,  6.00454,  6.45639,  7.34849,  7.39562,  6.63583,  0.64819,  0.09768,  0.10023
Fe,  0.44694,  0.36344,  0.36361,  0.44449,  0.49359,  0.49455,  0.43188,  0.06181,  0.14312,  0.13830
Zn,  0.71498,  0.71012,  0.71114,  0.71570,  0.71666,  0.71672,  0.71416,  0.00288,  0.00404,  0.00403
Mg,  0.54655,  0.49158,  0.49332,  0.54631,  0.57541,  0.57608,  0.53666,  0.03934,  0.07331,  0.07198
Al,  1.30512,  1.25765,  1.25895,  1.30301,  1.39467,  1.40072,  1.32252,  0.06575,  0.04971,  0.05038
PM25, 47.60933, 41.29984, 41.31102, 47.42282, 51.12387, 51.19831, 46.46702,  4.66606,  0.10042,  0.09801
